
** repeat 0 **
loading ../../outputs/repeat-0/sigarra
using chunked sentences from out-conll-sigarra.txt
5197 chunks, training on 5197
training ClassifierChunker with ['DecisionTree'] classifier
Constructing training corpus for classifier.
Training classifier (140486 instances)
training DecisionTree classifier
best stump for 140486 toks uses word                 err=0.0952
best stump for     31 toks uses previob              err=0.0000
best stump for     66 toks uses nextword             err=0.0152
best stump for      7 toks uses prevword             err=0.0000
best stump for    394 toks uses nextword             err=0.0228
best stump for    380 toks uses previob              err=0.0132
best stump for     21 toks uses prevword             err=0.0000
best stump for      3 toks uses prevword             err=0.0000
best stump for    350 toks uses prevpos              err=0.0057
best stump for    240 toks uses None                 err=0.0083
best stump for      9 toks uses nextword             err=0.0000
best stump for      5 toks uses prevpos              err=0.0000
best stump for     22 toks uses nextword             err=0.1818
best stump for      5 toks uses previob              err=0.0000
best stump for      8 toks uses prevword             err=0.1250
best stump for      2 toks uses prevword             err=0.0000
best stump for     27 toks uses previob              err=0.0000
best stump for      2 toks uses prevword             err=0.0000
best stump for      2 toks uses prevpos              err=0.0000
best stump for      3 toks uses prevpos              err=0.0000
best stump for      2 toks uses nextpos              err=0.0000
best stump for     10 toks uses previob              err=0.0000
best stump for    228 toks uses previob              err=0.0439
best stump for     34 toks uses nextword             err=0.1471
best stump for      9 toks uses prevword             err=0.1111
best stump for      6 toks uses prevpos              err=0.1667
best stump for      7 toks uses nextpos              err=0.0000
best stump for     41 toks uses nextword             err=0.0000
best stump for     45 toks uses nextword             err=0.0667
best stump for      8 toks uses None                 err=0.2500
best stump for     30 toks uses None                 err=0.0333
best stump for     16 toks uses previob              err=0.3125
best stump for      7 toks uses None                 err=0.4286
best stump for      6 toks uses prevword             err=0.0000
best stump for     14 toks uses nextpos              err=0.0000
best stump for     30 toks uses prevword             err=0.0333
best stump for      3 toks uses nextword             err=0.0000
best stump for      3 toks uses nextpos              err=0.0000
best stump for     19 toks uses nextword             err=0.0000
best stump for      2 toks uses nextpos              err=0.0000
best stump for      3 toks uses prevword             err=0.0000
best stump for     27 toks uses prevword             err=0.0000
best stump for     57 toks uses prevword             err=0.0175
best stump for     47 toks uses nextword             err=0.0000
best stump for     24 toks uses prevword             err=0.0000
best stump for      3 toks uses prevpos              err=0.0000
best stump for      3 toks uses nextpos              err=0.0000
best stump for      6 toks uses nextpos              err=0.0000
best stump for      6 toks uses prevpos              err=0.0000
best stump for     16 toks uses nextword             err=0.0000
best stump for     52 toks uses previob              err=0.0385
best stump for     46 toks uses nextword             err=0.0217
best stump for     32 toks uses None                 err=0.0312
best stump for      8 toks uses nextword             err=0.0000
best stump for      9 toks uses prevword             err=0.0000
best stump for     13 toks uses prevword             err=0.0000
best stump for      6 toks uses nextpos              err=0.0000
best stump for     16 toks uses prevpos              err=0.0000
best stump for     12 toks uses previob              err=0.0000
best stump for      2 toks uses prevpos              err=0.0000
best stump for      6 toks uses prevpos              err=0.0000
best stump for      7 toks uses previob              err=0.0000
best stump for      5 toks uses prevword             err=0.0000
best stump for      3 toks uses prevword             err=0.0000
best stump for      5 toks uses nextword             err=0.0000
best stump for     17 toks uses previob              err=0.0000
best stump for    106 toks uses nextword             err=0.0000
best stump for     85 toks uses previob              err=0.0471
best stump for     17 toks uses nextpos              err=0.0000
best stump for      5 toks uses nextpos              err=0.0000
best stump for      3 toks uses previob              err=0.0000
best stump for     12 toks uses nextword             err=0.0000
best stump for      3 toks uses previob              err=0.0000
best stump for      8 toks uses nextword             err=0.0000
best stump for      2 toks uses nextpos              err=0.0000
best stump for      4 toks uses nextword             err=0.0000
best stump for      5 toks uses prevword             err=0.0000
best stump for      6 toks uses prevword             err=0.0000
best stump for      2 toks uses prevword             err=0.0000
best stump for      2 toks uses prevpos              err=0.0000
best stump for   3935 toks uses prevword             err=0.0010
best stump for      2 toks uses nextword             err=0.0000
best stump for      2 toks uses previob              err=0.0000
best stump for      2 toks uses previob              err=0.0000
best stump for      3 toks uses nextpos              err=0.0000
best stump for      9 toks uses nextpos              err=0.0000
best stump for      3 toks uses prevword             err=0.0000
best stump for      4 toks uses prevword             err=0.0000
best stump for     15 toks uses previob              err=0.0000
best stump for      4 toks uses nextword             err=0.0000
best stump for      2 toks uses prevword             err=0.0000
best stump for      4 toks uses prevpos              err=0.0000
best stump for      2 toks uses prevword             err=0.0000
best stump for     16 toks uses nextword             err=0.0000
best stump for     24 toks uses previob              err=0.0000
best stump for      4 toks uses None                 err=0.2500
best stump for      2 toks uses nextpos              err=0.0000
best stump for     19 toks uses previob              err=0.0000
best stump for      9 toks uses prevpos              err=0.0000
best stump for      6 toks uses prevword             err=0.0000
best stump for     19 toks uses prevword             err=0.0000
best stump for      6 toks uses nextword             err=0.0000
best stump for      7 toks uses previob              err=0.0000
best stump for      7 toks uses previob              err=0.1429
best stump for      3 toks uses nextpos              err=0.0000
best stump for    314 toks uses prevword             err=0.0096
best stump for     35 toks uses nextword             err=0.0000
best stump for      4 toks uses None                 err=0.2500
best stump for      6 toks uses None                 err=0.1667
best stump for      8 toks uses prevword             err=0.2500
best stump for      4 toks uses prevword             err=0.0000
