
** training iterations **

** repeat 0 **

** iterations value: 160 **

** training categories **
Indexing events using cutoff of 5

	Computing event counts...  done. 59062 events
	Indexing...  done.
Sorting and merging events... done. Reduced 59062 events to 55254.
Done indexing.
Incorporating indexed data for training...  
done.
	Number of Event Tokens: 55254
	    Number of Outcomes: 21
	  Number of Predicates: 16579
...done.
Computing model parameters ...
Performing 160 iterations.
141:  ... loglikelihood=-3530.6284757718017	0.9875723815651349
142:  ... loglikelihood=-3519.6809069099386	0.9875893129254004
143:  ... loglikelihood=-3508.856936993987	0.9876231756459314
144:  ... loglikelihood=-3498.154279565672	0.9876739697267278
145:  ... loglikelihood=-3487.5707065510087	0.9876909010869933
146:  ... loglikelihood=-3477.104046365647	0.9877416951677898
147:  ... loglikelihood=-3466.7521820937623	0.9877247638075243
148:  ... loglikelihood=-3456.513049738456	0.9877924892485862
149:  ... loglikelihood=-3446.3846365395843	0.9878432833293826
150:  ... loglikelihood=-3436.364979356388	0.9879110087704446
151:  ... loglikelihood=-3426.4521631118155	0.9879279401307101
152:  ... loglikelihood=-3416.644319295841	0.9879448714909755
153:  ... loglikelihood=-3406.9396245251387	0.987995665571772
154:  ... loglikelihood=-3397.3362991567938	0.988029528292303
155:  ... loglikelihood=-3387.832605953195	0.988063391012834
156:  ... loglikelihood=-3378.4268487964528	0.988097253733365
157:  ... loglikelihood=-3369.117371450077	0.9881141850936305
158:  ... loglikelihood=-3359.9025563653277	0.9881649791744269
159:  ... loglikelihood=-3350.780823531406	0.9881988418949579
160:  ... loglikelihood=-3341.750629366288	0.9881988418949579

Training data summary:
#Sentences: 3276
#Tokens: 59062
#PESSOA entities: 1537
#ACONTECIMENTO entities: 200
#OBRA entities: 269
#ABSTRACCAO entities: 297
#LOCAL entities: 1088
#ORGANIZACAO entities: 677
#OUTRO entities: 55
#TEMPO entities: 869
#COISA entities: 237
#VALOR entities: 229

Writing name finder model ... done (0.290s)

Wrote name finder model to
path: /home/arop/Documents/ner-re-pt/tools/open-nlp/train/models/repeat-0/experiences/iterations/160/pt-ner-cat.bin

Execution time: 29.018 seconds

real	0m30.907s
user	0m32.744s
sys	0m0.644s

** training types **
Indexing events using cutoff of 5

	Computing event counts...  done. 60127 events
	Indexing...  done.
Sorting and merging events... done. Reduced 60127 events to 56096.
Done indexing.
Incorporating indexed data for training...  
done.
	Number of Event Tokens: 56096
	    Number of Outcomes: 72
	  Number of Predicates: 16899
...done.
Computing model parameters ...
Performing 160 iterations.
  1:  ... loglikelihood=-257143.1037382611	0.8185341028157067
  2:  ... loglikelihood=-78315.64653963226	0.8239393284215079
  3:  ... loglikelihood=-49850.192778591365	0.8451111813328455
  4:  ... loglikelihood=-38356.05020900846	0.8683453357060887
  5:  ... loglikelihood=-31654.963891686362	0.8877708849601676
  6:  ... loglikelihood=-27130.10515696946	0.9035707751925092
  7:  ... loglikelihood=-23842.37117290051	0.9161108985979677
  8:  ... loglikelihood=-21345.49086709824	0.9262061968832638
  9:  ... loglikelihood=-19388.900305943058	0.9338400385849951
 10:  ... loglikelihood=-17816.940252247066	0.9400768373609194
 11:  ... loglikelihood=-16527.14465299843	0.9451161707718663
 12:  ... loglikelihood=-15449.567360277873	0.9496232973539341
 13:  ... loglikelihood=-14535.135278893855	0.9532156934488666
 14:  ... loglikelihood=-13748.632995361873	0.9561594624711028
 15:  ... loglikelihood=-13064.2644158476	0.959169757346949
 16:  ... loglikelihood=-12462.758362527406	0.9616312139305138
 17:  ... loglikelihood=-11929.448006433575	0.9637101468558218
 18:  ... loglikelihood=-11452.975374777629	0.9650905583182264
 19:  ... loglikelihood=-11024.40330396856	0.9667869675852778
 20:  ... loglikelihood=-10636.59746647081	0.9682006419744873
 21:  ... loglikelihood=-10283.789550728785	0.9694812646564771
 22:  ... loglikelihood=-9961.262935407332	0.9707119929482595
 23:  ... loglikelihood=-9665.122102223831	0.9717431436792123
 24:  ... loglikelihood=-9392.120362920996	0.9726745056297503
 25:  ... loglikelihood=-9139.529203491635	0.973589236116886
 26:  ... loglikelihood=-8905.038052964264	0.9743709148968017
 27:  ... loglikelihood=-8686.676673360176	0.9752357509937299
 28:  ... loglikelihood=-8482.754488870318	0.975884378066426
 29:  ... loglikelihood=-8291.8126221595	0.9763999534319024
 30:  ... loglikelihood=-8112.585516759538	0.9770153175777937
 31:  ... loglikelihood=-7943.969897259368	0.9774976300164652
 32:  ... loglikelihood=-7784.999457010412	0.9780132053819416
 33:  ... loglikelihood=-7634.824091886894	0.9783624661133933
 34:  ... loglikelihood=-7492.692779854352	0.9790110931860895
 35:  ... loglikelihood=-7357.9393999912445	0.9794767741613585
 36:  ... loglikelihood=-7229.970929141752	0.9798759292830176
 37:  ... loglikelihood=-7108.257567872392	0.9802085585510669
 38:  ... loglikelihood=-6992.3244380583355	0.9805245563557138
 39:  ... loglikelihood=-6881.744566697092	0.9809403429407754
