
** training sigarra **

** repeat 0 **
Indexing events using cutoff of 4

	Computing event counts...  done. 128056 events
	Indexing...  done.
Sorting and merging events... done. Reduced 128056 events to 102562.
Done indexing.
Incorporating indexed data for training...  
done.
	Number of Event Tokens: 102562
	    Number of Outcomes: 17
	  Number of Predicates: 50323
...done.
Computing model parameters ...
Performing 170 iterations.
 72:  ... loglikelihood=-5145.741262399234	0.9947754283068375
 73:  ... loglikelihood=-5099.355290713936	0.9947985800277821
 74:  ... loglikelihood=-5054.0595392738	0.9948603179503009
 75:  ... loglikelihood=-5009.8134758061115	0.9948911869115604
 76:  ... loglikelihood=-4966.578611352311	0.9949297731131348
 77:  ... loglikelihood=-4924.318371227728	0.9949529248340794
 78:  ... loglikelihood=-4882.997975709959	0.9950069455162833
 79:  ... loglikelihood=-4842.58432960617	0.995030097237228
 80:  ... loglikelihood=-4803.045919938084	0.9950455317178577
 81:  ... loglikelihood=-4764.352721052955	0.9950609661984874
 82:  ... loglikelihood=-4726.476106538386	0.9950995524000618
 83:  ... loglikelihood=-4689.388767374632	0.9951690075628955
 84:  ... loglikelihood=-4653.064635814735	0.9951767248032104
 85:  ... loglikelihood=-4617.478814527067	0.9952307454854145
 86:  ... loglikelihood=-4582.607510580279	0.9952461799660441
 87:  ... loglikelihood=-4548.427973884624	0.995253897206359
 88:  ... loglikelihood=-4514.918439743493	0.9952770489273036
 89:  ... loglikelihood=-4482.058075195072	0.9953079178885631
 90:  ... loglikelihood=-4449.82692885498	0.9953465040901374
 91:  ... loglikelihood=-4418.205883994577	0.995361938570767
 92:  ... loglikelihood=-4387.176614612169	0.9953850902917117
 93:  ... loglikelihood=-4356.721544276345	0.9954005247723414
 94:  ... loglikelihood=-4326.82380753758	0.9954159592529711
 95:  ... loglikelihood=-4297.46721372219	0.995423676493286
 96:  ... loglikelihood=-4268.636212938046	0.9954622626948603
 97:  ... loglikelihood=-4240.3158641342425	0.9954931316561197
 98:  ... loglikelihood=-4212.491805071778	0.9955471523383238
 99:  ... loglikelihood=-4185.150224071119	0.9955703040592684
100:  ... loglikelihood=-4158.277833414969	0.9955780212995833
101:  ... loglikelihood=-4131.861844293719	0.9956011730205279
102:  ... loglikelihood=-4105.88994318905	0.9956243247414724
103:  ... loglikelihood=-4080.350269600292	0.995647476462417
104:  ... loglikelihood=-4055.2313950241823	0.9956783454236765
105:  ... loglikelihood=-4030.522303106192	0.9957014971446211
106:  ... loglikelihood=-4006.2123708879312	0.9957246488655657
107:  ... loglikelihood=-3982.291351079418	0.9957786695477697
108:  ... loglikelihood=-3958.7493552919536	0.995817255749344
109:  ... loglikelihood=-3935.576838169956	0.9958404074702887
110:  ... loglikelihood=-3912.764582367456	0.9958558419509184
111:  ... loglikelihood=-3890.3036843143354	0.9959021453928075
112:  ... loglikelihood=-3868.1855407270778	0.995933014354067
113:  ... loglikelihood=-3846.401835815954	0.9959484488346967
114:  ... loglikelihood=-3824.944529148777	0.9959793177959562
115:  ... loglikelihood=-3803.8058441308826	0.9960024695169007
116:  ... loglikelihood=-3782.9782570654893	0.9960256212378453
117:  ... loglikelihood=-3762.4544867600407	0.9960642074394197
118:  ... loglikelihood=-3742.2274846473592	0.9960796419200494
119:  ... loglikelihood=-3722.290425390982	0.996102793640994
120:  ... loglikelihood=-3702.636697948189	0.9961182281216238
121:  ... loglikelihood=-3683.25989706404	0.9961490970828831
122:  ... loglikelihood=-3664.153815171988	0.9961722488038277
123:  ... loglikelihood=-3645.312434679523	0.9961722488038277
124:  ... loglikelihood=-3626.7299206160433	0.9961876832844575
125:  ... loglikelihood=-3608.4006136245234	0.9961954005247723
126:  ... loglikelihood=-3590.319023277298	0.9962108350054021
127:  ... loglikelihood=-3572.4798216988443	0.9962031177650872
